ASDM_UID FOV FREQUENCY_RESOLUTION
uid://A002/X41d520/Xbf0 18.401374728734893 976.5625
uid://A002/X46457e/X2ec 9.148193150742367 976.5625
uid://A002/X4b29af/X5fc 27.02712848020622 976.5625
uid://A002/X44c3c1/X9f2 58.56606021511314 976.5625
uid://A002/X4b6a0b/X12f 18.26115671529038 31250.0
uid://A002/X4b1170/X8bf 24.453848048785947 976.5625
uid://A002/X4ae797/X8e2 20.87787002776264 976.5625
uid://A002/X435875/X4df 27.108595702065866 976.5625
uid://A002/X41d520/X5c 67.23971625907036 31250.0
uid://A002/X41065b/X334 9.304839878070133 31250.0
uid://A002/X47bd4d/Xd2c 18.196851590847114 976.5625
uid://A002/X321719/X600 65.77058593243679 976.5625
uid://A002/X321719/Xa2c 65.77058593243679 976.5625
uid://A002/X36e957/X316 58.857876912324585 976.5625
uid://A002/X460fc9/X4ce 9.211094396403045 976.5625
uid://A002/X31ab3d/X555 20.40753028149516 976.5625
uid://A002/X4b1170/Xa3a 27.945811759019005 122.0703125
uid://A002/X51ac2a/X35f 18.08134980088918 976.5625
uid://A002/X4ae797/X5ca 19.66916649283817 976.5625
uid://A002/X32d5f1/X2f0 18.47542548465271 122.0703125
uid://A002/X515b5c/X279 67.62663207621738 976.5625
uid://A002/X4b483b/X3c1 17.260791615502345 31250.0
uid://A002/X4ba082/X18a 17.25325287430228 122.0703125
